date,cpi
2005-01-01,111.95
2005-02-01,112.92
2005-03-01,113.03
2005-04-01,111.94
2005-05-01,111.95
2005-06-01,110.12
2005-07-01,108.85
2005-08-01,108.77
2005-09-01,110.23
2005-10-01,112.71
2005-11-01,116.39
2005-12-01,116.08
2006-01-01,117.61
2006-02-01,120.44
2006-03-01,122.0
2006-04-01,122.75
2006-05-01,123.63
2006-06-01,120.27
2006-07-01,121.97
2006-08-01,120.5
2006-09-01,123.95
2006-10-01,124.89
2006-11-01,128.28
2006-12-01,129.05
2007-01-01,134.78
2007-02-01,136.94
2007-03-01,137.79
2007-04-01,139.09
2007-05-01,136.78
2007-06-01,134.13
2007-07-01,133.18
2007-08-01,135.43
2007-09-01,138.53
2007-10-01,143.26
2007-11-01,144.05
2007-12-01,144.57
2008-01-01,147.21
2008-02-01,154.65
2008-03-01,156.26
2008-04-01,157.84
2008-05-01,158.24
2008-06-01,152.86
2008-07-01,153.53
2008-08-01,153.48
2008-09-01,153.87
2008-10-01,159.88
2008-11-01,161.01
2008-12-01,161.78
2009-01-01,164.15
2009-02-01,164.18
2009-03-01,170.6
2009-04-01,170.0
2009-05-01,170.32
2009-06-01,167.66
2009-07-01,166.59
2009-08-01,163.97
2009-09-01,164.32
2009-10-01,169.18
2009-11-01,172.92
2009-12-01,176.76
2010-01-01,179.55
2010-02-01,188.55
2010-03-01,189.72
2010-04-01,189.99
2010-05-01,181.66
2010-06-01,177.08
2010-07-01,175.78
2010-08-01,180.97
2010-09-01,189.51
2010-10-01,198.08
2010-11-01,194.34
2010-12-01,189.17
2011-01-01,192.22
2011-02-01,197.1
2011-03-01,196.3
2011-04-01,195.36
2011-05-01,204.57
2011-06-01,191.47
2011-07-01,189.22
2011-08-01,191.83
2011-09-01,193.73
2011-10-01,201.56
2011-11-01,208.16
2011-12-01,212.26
2012-01-01,214.65
2012-02-01,219.12
2012-03-01,218.39
2012-04-01,218.12
2012-05-01,212.89
2012-06-01,205.61
2012-07-01,206.36
2012-08-01,209.37
2012-09-01,213.86
2012-10-01,217.42
2012-11-01,217.16
2012-12-01,220.53
2013-01-01,229.35
2013-02-01,231.38
2013-03-01,236.09
2013-04-01,233.02
2013-05-01,227.94
2013-06-01,232.09
2013-07-01,232.61
2013-08-01,230.82
2013-09-01,232.52
2013-10-01,241.62
2013-11-01,238.38
2013-12-01,241.85
2014-01-01,254.32
2014-02-01,254.64
2014-03-01,259.98
2014-04-01,263.67
2014-05-01,260.11
2014-06-01,261.04
2014-07-01,261.82
2014-08-01,264.14
2014-09-01,264.95
2014-10-01,271.97
2014-11-01,272.63
2014-12-01,272.64
2015-01-01,282.23
2015-02-01,289.53
2015-03-01,296.69
2015-04-01,301.53
2015-05-01,293.44
2015-06-01,285.26
2015-07-01,286.05
2015-08-01,289.79
2015-09-01,293.38
2015-10-01,295.6
2015-11-01,298.57
2015-12-01,302.27
2016-01-01,315.22
2016-02-01,315.1
2016-03-01,310.29
2016-04-01,305.7
2016-05-01,300.69
2016-06-01,304.18
2016-07-01,313.76
2016-08-01,307.73
2016-09-01,305.58
2016-10-01,310.96
2016-11-01,309.17
2016-12-01,319.35
2017-01-01,339.7
2017-02-01,342.57
2017-03-01,349.18
2017-04-01,353.47
2017-05-01,351.53
2017-06-01,347.81
2017-07-01,345.34
2017-08-01,344.57
2017-09-01,343.79
2017-10-01,350.57
2017-11-01,357.95
2017-12-01,363.38
2018-01-01,369.45
2018-02-01,377.74
2018-03-01,385.4
2018-04-01,384.6
2018-05-01,390.19
2018-06-01,413.51
2018-07-01,412.35
2018-08-01,412.61
2018-09-01,439.01
2018-10-01,453.16
2018-11-01,449.8
2018-12-01,454.64
2019-01-01,483.87
2019-02-01,488.24
2019-03-01,500.14
2019-04-01,507.12
2019-05-01,501.16
2019-06-01,492.9
2019-07-01,487.44
2019-08-01,483.68
2019-09-01,480.79
2019-10-01,488.73
2019-11-01,489.8
2019-12-01,504.14
2020-01-01,527.59
2020-02-01,539.88
2020-03-01,550.42
2020-04-01,564.32
2020-05-01,565.68
2020-06-01,556.61
2020-07-01,549.48
2020-08-01,549.04
2020-09-01,552.66
2020-10-01,569.4
2020-11-01,593.07
2020-12-01,608.06
2021-01-01,623.16
2021-02-01,639.2
2021-03-01,646.41
2021-04-01,660.16
2021-05-01,662.08
2021-06-01,667.88
2021-07-01,686.41
2021-08-01,708.25
2021-09-01,711.76
2021-10-01,725.45
2021-11-01,753.88
2021-12-01,874.42
2022-01-01,969.71
2022-02-01,1051.29
2022-03-01,1101.0
2022-04-01,1248.33
2022-05-01,1268.74
2022-06-01,1295.25
2022-07-01,1336.07
2022-08-01,1347.48
2022-09-01,1374.05
2022-10-01,1443.99
2022-11-01,1526.98
2022-12-01,1555.31
2023-01-01,1658.23
2023-02-01,1780.2
2023-03-01,1848.51
2023-04-01,1921.46
2023-05-01,1935.1
2023-06-01,1993.6
2023-07-01,2147.27
2023-08-01,2329.27
2023-09-01,2406.5
2023-10-01,2483.58
2023-11-01,2552.51
2023-12-01,2675.31
2024-01-01,2814.14
2024-02-01,3046.31
2024-03-01,3149.99
2024-04-01,3237.61
2024-05-01,3292.35
2024-06-01,3350.79
2024-07-01,3412.26
2024-08-01,3374.74
2024-09-01,3458.59
2024-10-01,3608.18
2024-11-01,3792.33
2024-12-01,3841.32
2025-01-01,3989.45
2025-02-01,4115.94
2025-03-01,4319.13
2025-04-01,4405.98
2025-05-01,4374.64
2025-06-01,4362.88
2025-07-01,4366.15
2025-08-01,4497.92
2025-09-01,4705.79
2025-10-01,4866.31
2025-11-01,4832.88
