date,cpi
2005-01-01,133.14
2005-02-01,134.79
2005-03-01,136.23
2005-04-01,137.22
2005-05-01,138.92
2005-06-01,141.32
2005-07-01,144.04
2005-08-01,147.83
2005-09-01,151.3
2005-10-01,154.0
2005-11-01,155.8
2005-12-01,157.42
2006-01-01,159.49
2006-02-01,162.26
2006-03-01,163.84
2006-04-01,165.52
2006-05-01,167.5
2006-06-01,169.88
2006-07-01,173.56
2006-08-01,177.0
2006-09-01,181.21
2006-10-01,184.22
2006-11-01,186.84
2006-12-01,188.92
2007-01-01,191.92
2007-02-01,194.45
2007-03-01,196.37
2007-04-01,198.45
2007-05-01,200.8
2007-06-01,202.91
2007-07-01,205.81
2007-08-01,208.71
2007-09-01,212.17
2007-10-01,215.33
2007-11-01,217.52
2007-12-01,219.17
2008-01-01,221.53
2008-02-01,223.73
2008-03-01,225.29
2008-04-01,227.02
2008-05-01,228.96
2008-06-01,231.46
2008-07-01,234.0
2008-08-01,236.52
2008-09-01,239.75
2008-10-01,242.66
2008-11-01,244.18
2008-12-01,245.14
2009-01-01,246.98
2009-02-01,248.05
2009-03-01,248.84
2009-04-01,249.68
2009-05-01,250.68
2009-06-01,251.68
2009-07-01,252.86
2009-08-01,254.16
2009-09-01,255.29
2009-10-01,256.48
2009-11-01,257.43
2009-12-01,258.09
2010-01-01,259.11
2010-02-01,259.84
2010-03-01,260.58
2010-04-01,261.22
2010-05-01,261.8
2010-06-01,262.28
2010-07-01,263.42
2010-08-01,264.5
2010-09-01,265.7
2010-10-01,266.77
2010-11-01,267.78
2010-12-01,268.31
2011-01-01,269.31
2011-02-01,270.23
2011-03-01,271.2
2011-04-01,271.97
2011-05-01,272.9
2011-06-01,273.89
2011-07-01,275.05
2011-08-01,275.93
2011-09-01,277.59
2011-10-01,279.03
2011-11-01,280.21
2011-12-01,280.96
2012-01-01,281.93
2012-02-01,282.91
2012-03-01,283.46
2012-04-01,284.55
2012-05-01,285.5
2012-06-01,287.05
2012-07-01,288.48
2012-08-01,290.21
2012-09-01,291.6
2012-10-01,293.54
2012-11-01,295.21
2012-12-01,296.29
2013-01-01,297.54
2013-02-01,298.62
2013-03-01,299.99
2013-04-01,301.5
2013-05-01,302.87
2013-06-01,304.75
2013-07-01,306.3
2013-08-01,308.02
2013-09-01,309.94
2013-10-01,311.75
2013-11-01,313.86
2013-12-01,315.56
2014-01-01,317.12
2014-02-01,318.48
2014-03-01,319.67
2014-04-01,321.13
2014-05-01,323.04
2014-06-01,325.48
2014-07-01,327.65
2014-08-01,329.92
2014-09-01,332.79
2014-10-01,335.33
2014-11-01,336.95
2014-12-01,338.72
2015-01-01,340.63
2015-02-01,342.26
2015-03-01,343.69
2015-04-01,345.63
2015-05-01,347.76
2015-06-01,349.78
2015-07-01,352.5
2015-08-01,355.12
2015-09-01,358.09
2015-10-01,360.65
2015-11-01,363.26
2015-12-01,364.9
2016-01-01,367.72
2016-02-01,369.7
2016-03-01,371.46
2016-04-01,374.64
2016-05-01,377.52
2016-06-01,380.66
2016-07-01,383.45
2016-08-01,386.79
2016-09-01,390.14
2016-10-01,393.52
2016-11-01,395.93
2016-12-01,398.85
2017-01-01,402.21
2017-02-01,404.44
2017-03-01,406.37
2017-04-01,408.55
2017-05-01,411.66
2017-06-01,414.2
2017-07-01,417.84
2017-08-01,421.01
2017-09-01,425.59
2017-10-01,429.14
2017-11-01,432.79
2017-12-01,435.6
2018-01-01,439.17
2018-02-01,441.59
2018-03-01,444.25
2018-04-01,447.53
2018-05-01,450.71
2018-06-01,454.04
2018-07-01,459.33
2018-08-01,464.09
2018-09-01,468.29
2018-10-01,472.13
2018-11-01,475.07
2018-12-01,477.48
2019-01-01,483.82
2019-02-01,486.57
2019-03-01,489.21
2019-04-01,492.19
2019-05-01,496.11
2019-06-01,500.36
2019-07-01,506.03
2019-08-01,511.22
2019-09-01,515.8
2019-10-01,519.41
2019-11-01,522.62
2019-12-01,525.49
2020-01-01,531.47
2020-02-01,535.78
2020-03-01,538.69
2020-04-01,540.94
2020-05-01,543.35
2020-06-01,546.49
2020-07-01,551.94
2020-08-01,556.85
2020-09-01,560.79
2020-10-01,565.45
2020-11-01,569.47
2020-12-01,573.13
2021-01-01,580.19
2021-02-01,585.08
2021-03-01,588.44
2021-04-01,591.93
2021-05-01,596.17
2021-06-01,600.78
2021-07-01,606.68
2021-08-01,613.76
2021-09-01,621.66
2021-10-01,628.6
2021-11-01,636.01
2021-12-01,643.07
2022-01-01,660.79
2022-02-01,675.49
2022-03-01,686.71
2022-04-01,699.54
2022-05-01,715.5
2022-06-01,737.75
2022-07-01,769.01
2022-08-01,802.85
2022-09-01,846.58
2022-10-01,887.82
2022-11-01,917.36
2022-12-01,945.76
2023-01-01,1037.93
2023-02-01,1065.53
2023-03-01,1117.68
2023-04-01,1166.53
2023-05-01,1226.59
2023-06-01,1297.74
2023-07-01,1397.23
2023-08-01,1507.6
2023-09-01,1651.08
2023-10-01,1781.61
2023-11-01,1888.02
2023-12-01,1972.63
2024-01-01,2198.76
2024-02-01,2354.09
2024-03-01,2503.01
2024-04-01,2618.5
2024-05-01,2761.59
2024-06-01,2902.27
2024-07-01,3106.51
2024-08-01,3335.71
2024-09-01,3589.99
2024-10-01,3787.55
2024-11-01,3945.87
2024-12-01,4059.98
2025-01-01,4411.61
2025-02-01,4642.57
2025-03-01,4800.06
2025-04-01,4953.88
2025-05-01,5107.42
2025-06-01,5310.35
2025-07-01,5558.99
2025-08-01,5815.3
2025-09-01,6070.7
2025-10-01,6297.96
2025-11-01,6455.01
