|||Columns||||||||||||
Rows|||Turkey||||||||||||
|||||||||||||||
|||01-January|02-February|03-March|04-April|05-May|06-June|07-July|08-August|09-September|10-October|11-November|12-December|
Consumer Price Index (2003=100)|01. (Food And Non-Alcoholic Beverages)|2005|111.95|112.92|113.03|111.94|111.95|110.12|108.85|108.77|110.23|112.71|116.39|116.08|
||2006|117.61|120.44|122.0|122.75|123.63|120.27|121.97|120.5|123.95|124.89|128.28|129.05|
||2007|134.78|136.94|137.79|139.09|136.78|134.13|133.18|135.43|138.53|143.26|144.05|144.57|
||2008|147.21|154.65|156.26|157.84|158.24|152.86|153.53|153.48|153.87|159.88|161.01|161.78|
||2009|164.15|164.18|170.6|170.0|170.32|167.66|166.59|163.97|164.32|169.18|172.92|176.76|
||2010|179.55|188.55|189.72|189.99|181.66|177.08|175.78|180.97|189.51|198.08|194.34|189.17|
||2011|192.22|197.1|196.3|195.36|204.57|191.47|189.22|191.83|193.73|201.56|208.16|212.26|
||2012|214.65|219.12|218.39|218.12|212.89|205.61|206.36|209.37|213.86|217.42|217.16|220.53|
||2013|229.35|231.38|236.09|233.02|227.94|232.09|232.61|230.82|232.52|241.62|238.38|241.85|
||2014|254.32|254.64|259.98|263.67|260.11|261.04|261.82|264.14|264.95|271.97|272.63|272.64|
||2015|282.23|289.53|296.69|301.53|293.44|285.26|286.05|289.79|293.38|295.6|298.57|302.27|
||2016|315.22|315.1|310.29|305.7|300.69|304.18|313.76|307.73|305.58|310.96|309.17|319.35|
||2017|339.7|342.57|349.18|353.47|351.53|347.81|345.34|344.57|343.79|350.57|357.95|363.38|
||2018|369.45|377.74|385.4|384.6|390.19|413.51|412.35|412.61|439.01|453.16|449.8|454.64|
||2019|483.87|488.24|500.14|507.12|501.16|492.9|487.44|483.68|480.79|488.73|489.8|504.14|
||2020|527.59|539.88|550.42|564.32|565.68|556.61|549.48|549.04|552.66|569.4|593.07|608.06|
||2021|623.16|639.2|646.41|660.16|662.08|667.88|686.41|708.25|711.76|725.45|753.88|874.42|
||2022|969.71|1051.29|1101.0|1248.33|1268.74|1295.25|1336.07|1347.48|1374.05|1443.99|1526.98|1555.31|
||2023|1658.23|1780.2|1848.51|1921.46|1935.1|1993.6|2147.27|2329.27|2406.5|2483.58|2552.51|2675.31|
||2024|2814.14|3046.31|3149.99|3237.61|3292.35|3350.79|3412.26|3374.74|3458.59|3608.18|3792.33|3841.32|
||2025|3989.45|4115.94|4319.13|4405.98|4374.64|4362.88|4366.15|4497.92|4705.79|4866.31|4832.88||
|011. (Food)|2005|111.72|112.75|112.85|111.65|111.63|109.66|108.24|108.11|109.6|112.21|116.11|115.7|
||2006|117.28|120.25|121.91|122.69|123.61|119.97|121.6|119.91|123.52|124.5|128.07|128.83|
||2007|134.85|137.07|137.92|139.28|136.85|133.97|132.91|135.21|138.41|143.41|144.2|144.69|
||2008|147.62|155.47|157.05|158.63|158.99|153.07|153.67|153.56|153.89|160.24|161.4|162.16|
||2009|164.64|164.59|171.44|170.75|170.99|168.06|166.87|164.06|164.4|169.54|173.52|177.59|
||2010|180.56|190.24|191.5|191.72|182.72|177.71|176.19|181.67|190.8|199.96|195.91|190.36|
||2011|193.58|198.74|197.84|196.83|206.72|192.48|189.91|192.64|194.55|202.83|209.76|214.03|
||2012|216.51|221.34|220.36|219.95|214.22|206.24|207.0|210.2|215.02|218.76|218.29|221.92|
||2013|231.4|233.57|238.59|235.25|229.64|234.09|234.64|232.65|234.37|244.15|240.52|244.14|
||2014|257.57|257.79|263.46|267.36|263.4|264.17|264.79|267.08|267.82|275.22|275.79|275.74|
||2015|286.11|293.83|301.47|306.65|297.52|288.49|289.15|292.84|296.37|298.65|301.8|305.74|
||2016|319.69|319.31|313.71|308.42|302.8|306.54|316.84|310.23|307.86|313.71|311.61|322.36|
||2017|344.22|346.94|353.91|358.03|355.38|351.16|348.07|346.91|345.84|352.82|360.87|366.83|
||2018|373.07|381.34|389.24|388.35|394.19|419.13|417.28|417.28|444.58|458.98|455.31|460.64|
||2019|492.36|497.04|509.94|517.38|510.45|501.0|494.02|489.45|485.14|493.61|494.72|510.17|
||2020|535.37|548.59|559.4|573.63|574.56|564.56|556.86|556.13|559.43|576.87|602.24|618.29|
||2021|634.06|651.2|658.96|673.24|674.45|679.72|699.08|721.97|724.36|738.1|767.61|894.57|
||2022|993.94|1078.58|1130.68|1284.8|1302.24|1320.75|1359.64|1366.6|1393.47|1466.74|1550.88|1581.46|
||2023|1690.88|1818.73|1889.31|1967.33|1980.42|2035.39|2189.08|2372.97|2448.59|2523.75|2594.35|2723.09|
||2024|2868.26|3110.59|3220.4|3313.2|3364.58|3423.68|3481.51|3425.67|3513.74|3662.54|3861.92|3909.87|
||2025|4059.18|4192.96|4407.12|4498.74|4456.22|4439.44|4432.92|4560.67|4772.77|4937.25|4900.19||
|012. (Non-Alcoholic Beverages)|2005|115.23|115.28|115.51|116.05|116.51|116.66|117.59|118.28|119.34|119.9|120.3|121.42|
||2006|122.18|122.74|122.82|123.05|123.27|124.29|127.18|129.12|130.17|130.38|130.95|131.83|
||2007|132.91|134.24|135.06|135.4|135.08|135.85|136.79|138.17|139.8|140.26|141.04|141.89|
||2008|140.31|141.44|143.57|144.99|146.08|148.77|150.48|151.45|152.67|153.53|154.17|155.14|
||2009|155.96|157.01|157.59|158.2|159.44|160.68|161.28|161.32|161.87|162.88|163.15|163.77|
||2010|164.31|164.27|164.23|165.16|165.68|166.73|168.24|169.67|170.43|171.23|171.59|171.34|
||2011|172.28|173.64|174.07|174.09|174.79|175.88|177.56|178.54|180.29|182.48|184.92|186.96|
||2012|188.29|188.57|190.68|191.97|192.56|193.25|193.85|194.67|195.31|196.82|198.92|199.37|
||2013|200.48|200.96|202.03|202.05|203.13|203.82|203.95|204.46|205.92|207.06|208.29|210.01|
||2014|211.27|212.79|214.18|215.42|216.55|219.26|221.82|224.44|226.02|228.54|230.26|230.8|
||2015|231.65|234.19|235.84|236.96|240.39|241.71|243.84|247.9|252.14|253.61|254.54|255.53|
||2016|257.54|260.1|263.76|266.71|268.18|269.01|270.65|271.02|271.19|271.48|272.95|276.86|
||2017|280.27|284.63|287.11|293.12|298.94|300.81|305.08|308.53|310.98|315.4|315.19|314.72|
||2018|318.65|326.99|331.76|332.05|334.67|339.15|345.69|348.91|364.56|375.5|375.66|374.92|
||2019|375.64|376.45|376.84|378.55|383.52|388.73|400.41|405.66|418.58|420.46|421.06|422.61|
||2020|426.48|428.25|435.54|445.49|451.48|452.62|451.85|454.64|461.51|470.17|474.72|477.87|
||2021|485.16|488.65|489.55|497.24|506.8|518.18|527.12|536.86|552.5|565.29|581.02|627.52|
||2022|675.7|721.59|743.94|813.13|864.7|976.14|1036.27|1095.11|1117.46|1149.24|1216.9|1220.21|
||2023|1248.98|1302.84|1344.27|1359.44|1378.71|1473.78|1622.33|1777.94|1870.22|1965.88|2014.3|2068.36|
||2024|2133.84|2248.09|2281.78|2310.18|2399.62|2448.95|2547.88|2710.57|2745.8|2899.01|2911.83|2970.47|
||2025|3101.77|3142.19|3215.72|3246.25|3342.95|3388.55|3503.14|3677.58|3832.38|3944.09|3952.78||
|02. (Alcoholic Beverages And Tobacco)|2005|121.95|124.33|124.53|124.6|124.6|124.69|127.15|148.6|148.6|148.61|148.62|155.93|
||2006|163.19|163.2|163.44|163.48|163.48|163.48|163.5|163.49|163.77|163.78|163.8|163.82|
||2007|163.83|167.94|180.06|180.11|180.13|180.16|180.22|180.22|180.26|180.26|191.99|192.0|
||2008|191.98|192.02|192.42|192.47|192.48|192.49|192.6|192.62|192.64|192.66|192.61|192.61|
||2009|192.63|192.82|206.12|206.16|206.24|206.27|228.73|232.69|232.7|233.02|232.99|232.88|
||2010|284.2|294.78|294.82|294.87|294.84|294.82|294.85|294.86|291.62|288.4|290.17|290.3|
||2011|290.3|290.33|290.43|290.42|290.39|290.4|290.42|290.45|290.77|331.8|344.03|344.0|
||2012|344.08|344.08|344.07|344.23|344.7|344.69|344.69|344.68|345.67|347.32|347.36|347.38|
||2013|396.91|400.2|400.18|400.16|400.17|400.14|399.8|399.86|399.92|396.99|394.43|383.94|
||2014|412.55|412.65|412.57|412.67|412.05|411.81|420.02|418.09|413.42|413.41|413.42|413.37|
||2015|430.69|428.79|428.76|428.83|428.86|428.83|433.8|435.34|436.87|436.83|436.85|436.87|
||2016|478.81|483.58|483.59|483.88|483.73|483.72|517.8|535.59|535.63|535.6|535.64|574.89|
||2017|588.45|588.6|588.59|588.65|588.66|588.7|591.0|591.27|591.32|591.32|591.4|591.36|
||2018|593.67|593.86|593.87|593.92|594.83|594.96|599.46|602.0|602.41|603.51|604.56|605.52|
||2019|609.26|609.94|609.99|651.31|709.14|709.43|714.76|851.35|866.61|866.63|866.66|866.65|
||2020|866.45|854.81|855.12|855.31|860.99|868.44|870.4|872.12|872.47|872.4|872.43|872.31|
||2021|878.17|879.35|879.67|886.09|885.96|885.88|886.1|887.73|888.14|941.17|941.45|1046.98|
||2022|1276.31|1281.95|1332.12|1385.71|1476.21|1514.77|1618.58|1620.0|1620.68|1674.14|1727.47|1728.66|
||2023|1922.07|1913.86|1914.9|1915.13|1920.5|2134.25|2372.57|2462.06|2709.08|2711.63|2960.04|2960.44|
||2024|3106.06|3121.3|3120.83|3419.12|3581.35|3583.98|3793.2|3962.5|4127.41|4125.76|4124.01|4123.21|
||2025|4165.35|4164.84|4579.45|4576.59|4579.52|4586.04|4847.18|5139.92|5138.41|5262.63|5389.93||
|021. (Alcoholic Beverages)|2005|134.46|157.07|160.2|161.32|161.36|162.77|162.91|162.88|162.83|163.04|163.15|163.33|
||2006|163.54|163.64|167.45|168.03|168.05|168.04|168.41|168.26|172.71|172.8|173.14|173.42|
||2007|173.56|175.8|179.06|179.89|180.23|180.74|181.67|181.76|182.29|182.4|186.56|186.77|
||2008|186.44|187.02|193.37|194.24|194.37|194.51|196.21|196.62|196.93|197.25|196.46|196.38|
||2009|196.72|199.82|200.36|201.0|202.37|202.78|203.08|203.08|203.16|208.51|207.96|206.1|
||2010|226.62|227.24|228.1|229.12|228.66|228.15|228.7|229.01|229.04|229.38|266.55|269.26|
||2011|269.28|269.86|271.55|271.39|270.85|270.97|271.4|271.8|277.48|301.47|314.45|313.9|
||2012|315.14|315.13|315.05|317.61|324.9|324.74|324.75|324.65|340.29|366.22|366.82|367.21|
||2013|374.94|375.72|375.48|375.14|375.36|374.88|380.27|381.23|382.15|386.49|386.39|386.2|
||2014|416.54|418.08|416.81|418.41|417.0|416.71|425.72|435.12|435.04|434.9|435.12|434.26|
||2015|466.86|468.68|468.26|469.34|469.73|469.27|484.45|488.26|488.65|488.16|488.41|488.72|
||2016|541.07|546.36|546.57|551.15|548.74|548.59|563.86|567.26|567.95|567.51|568.14|608.49|
||2017|610.03|612.47|612.32|613.26|613.39|614.04|651.02|655.32|656.15|656.16|657.37|656.8|
||2018|694.48|697.53|697.76|698.48|713.37|715.38|788.8|799.34|806.07|823.97|841.11|856.77|
||2019|919.72|931.2|932.07|932.36|933.13|936.35|1015.36|1018.8|1019.54|1019.92|1020.34|1020.27|
||2020|1016.07|1013.75|1020.15|1024.12|1025.29|1025.51|1062.57|1090.03|1092.51|1091.01|1091.62|1089.14|
||2021|1203.82|1224.5|1228.37|1227.54|1225.05|1223.5|1227.82|1259.64|1267.63|1267.68|1273.25|1287.44|
||2022|1729.43|1842.65|1839.49|1862.28|1910.41|2379.43|2386.76|2415.38|2424.11|2477.0|2492.61|2516.63|
||2023|2929.56|3110.4|3128.21|3132.1|3223.77|3238.41|3644.66|3865.02|3854.36|3897.81|3889.43|3896.28|
||2024|4809.4|5088.88|5080.27|5060.54|5228.8|5276.96|6186.77|6255.02|6197.95|6167.58|6135.59|6120.97|
||2025|6902.51|6892.93|6949.38|6884.39|6921.97|6956.94|7776.23|7978.5|7950.54|7935.83|7903.36||
|022. (Tobacco)|2005|121.03|122.06|122.06|122.06|122.06|122.06|124.67|147.54|147.54|147.54|147.54|155.32|
||2006|163.05|163.05|163.05|163.05|163.05|163.05|163.05|163.05|163.05|163.05|163.05|163.05|
||2007|163.05|167.28|179.96|179.96|179.96|179.96|179.96|179.96|179.96|179.96|192.16|192.16|
||2008|192.16|192.16|192.16|192.16|192.16|192.16|192.16|192.16|192.16|192.16|192.16|192.16|
||2009|192.16|192.16|206.27|206.27|206.27|206.27|230.14|234.35|234.35|234.35|234.35|234.35|
||2010|287.24|298.32|298.32|298.32|298.32|298.32|298.32|298.32|294.92|291.52|291.52|291.52|
||2011|291.52|291.52|291.52|291.52|291.52|291.52|291.52|291.52|291.52|333.58|345.76|345.76|
||2012|345.76|345.76|345.76|345.76|345.76|345.76|345.76|345.76|345.76|345.76|345.76|345.76|
||2013|398.1|401.55|401.55|401.55|401.55|401.55|400.82|400.82|400.82|397.4|394.68|383.48|
||2014|411.95|411.95|411.95|411.95|411.39|411.16|419.31|416.63|411.65|411.65|411.65|411.65|
||2015|427.89|425.72|425.72|425.72|425.72|425.72|429.98|431.36|432.97|432.97|432.97|432.97|
||2016|474.17|478.9|478.9|478.9|478.9|478.9|514.22|532.95|532.95|532.95|532.95|572.08|
||2017|586.43|586.43|586.43|586.43|586.43|586.43|586.43|586.43|586.43|586.43|586.43|586.43|
||2018|586.43|586.43|586.43|586.43|586.43|586.43|586.43|588.44|588.44|588.44|588.44|588.44|
||2019|588.44|588.44|588.44|632.26|693.56|693.67|694.34|839.04|855.18|855.18|855.18|855.18|
||2020|855.18|843.13|843.13|843.13|849.01|856.79|856.98|857.4|857.65|857.65|857.65|857.65|
||2021|857.65|857.78|857.91|864.69|864.69|864.69|864.69|864.69|864.69|920.39|920.39|1030.44|
||2022|1247.78|1247.78|1300.55|1355.54|1447.92|1463.83|1572.28|1572.28|1572.54|1625.82|1680.91|1680.91|
||2023|1860.8|1840.82|1840.82|1840.82|1840.82|2067.12|2295.17|2376.58|2639.83|2639.83|2904.41|2904.41|
||2024|3005.68|3005.68|3005.68|3322.1|3483.87|3483.87|3652.55|3827.57|4005.15|4005.15|4005.15|4005.15|
