date,cpi
2005-01-01,117.99
2005-02-01,118.58
2005-03-01,119.42
2005-04-01,121.91
2005-05-01,122.12
2005-06-01,122.99
2005-07-01,124.14
2005-08-01,125.9
2005-09-01,128.12
2005-10-01,128.64
2005-11-01,127.58
2005-12-01,127.35
2006-01-01,129.29
2006-02-01,129.49
2006-03-01,129.67
2006-04-01,131.49
2006-05-01,133.5
2006-06-01,138.53
2006-07-01,142.5
2006-08-01,142.56
2006-09-01,140.05
2006-10-01,140.16
2006-11-01,139.77
2006-12-01,140.27
2007-01-01,140.23
2007-02-01,141.17
2007-03-01,142.88
2007-04-01,144.15
2007-05-01,144.31
2007-06-01,144.07
2007-07-01,144.03
2007-08-01,143.89
2007-09-01,144.77
2007-10-01,144.17
2007-11-01,147.77
2007-12-01,147.65
2008-01-01,149.62
2008-02-01,150.43
2008-03-01,152.21
2008-04-01,155.83
2008-05-01,158.27
2008-06-01,160.84
2008-07-01,160.33
2008-08-01,157.84
2008-09-01,158.11
2008-10-01,157.17
2008-11-01,155.04
2008-12-01,151.15
2009-01-01,152.46
2009-02-01,154.59
2009-03-01,151.52
2009-04-01,148.94
2009-05-01,150.12
2009-06-01,154.35
2009-07-01,155.25
2009-08-01,157.84
2009-09-01,158.15
2009-10-01,161.48
2009-11-01,163.5
2009-12-01,163.08
2010-01-01,168.84
2010-02-01,169.55
2010-03-01,170.79
2010-04-01,170.87
2010-05-01,170.82
2010-06-01,170.11
2010-07-01,170.95
2010-08-01,170.66
2010-09-01,170.86
2010-10-01,171.52
2010-11-01,172.3
2010-12-01,174.14
2011-01-01,176.65
2011-02-01,179.78
2011-03-01,182.6
2011-04-01,184.5
2011-05-01,185.67
2011-06-01,186.27
2011-07-01,187.72
2011-08-01,191.28
2011-09-01,194.95
2011-10-01,196.14
2011-11-01,195.07
2011-12-01,195.42
2012-01-01,199.44
2012-02-01,200.1
2012-03-01,202.4
2012-04-01,202.94
2012-05-01,200.18
2012-06-01,197.4
2012-07-01,198.13
2012-08-01,201.29
2012-09-01,204.61
2012-10-01,208.82
2012-11-01,206.79
2012-12-01,206.24
2013-01-01,207.28
2013-02-01,210.65
2013-03-01,210.55
2013-04-01,209.22
2013-05-01,209.5
2013-06-01,212.63
2013-07-01,217.48
2013-08-01,219.01
2013-09-01,223.36
2013-10-01,224.11
2013-11-01,223.92
2013-12-01,226.39
2014-01-01,232.06
2014-02-01,237.37
2014-03-01,239.47
2014-04-01,238.17
2014-05-01,236.97
2014-06-01,238.16
2014-07-01,239.85
2014-08-01,239.7
2014-09-01,239.97
2014-10-01,239.53
2014-11-01,235.25
2014-12-01,231.07
2015-01-01,229.77
2015-02-01,233.84
2015-03-01,235.96
2015-04-01,236.94
2015-05-01,241.11
2015-06-01,241.08
2015-07-01,242.06
2015-08-01,241.13
2015-09-01,245.78
2015-10-01,249.21
2015-11-01,247.27
2015-12-01,245.87
2016-01-01,246.71
2016-02-01,248.61
2016-03-01,250.57
2016-04-01,252.13
2016-05-01,254.9
2016-06-01,256.62
2016-07-01,256.9
2016-08-01,257.38
2016-09-01,264.32
2016-10-01,269.61
2016-11-01,270.94
2016-12-01,276.27
2017-01-01,285.22
2017-02-01,293.25
2017-03-01,294.89
2017-04-01,297.37
2017-05-01,295.21
2017-06-01,292.73
2017-07-01,296.04
2017-08-01,302.11
2017-09-01,306.87
2017-10-01,314.89
2017-11-01,321.23
2017-12-01,326.65
2018-01-01,330.9
2018-02-01,331.92
2018-03-01,334.43
2018-04-01,346.28
2018-05-01,354.31
2018-06-01,363.74
2018-07-01,367.71
2018-08-01,384.08
2018-09-01,419.21
2018-10-01,415.66
2018-11-01,388.79
2018-12-01,378.82
2019-01-01,379.59
2019-02-01,382.29
2019-03-01,385.14
2019-04-01,389.74
2019-05-01,398.25
2019-06-01,400.11
2019-07-01,417.97
2019-08-01,409.88
2019-09-01,416.46
2019-10-01,421.32
2019-11-01,422.69
2019-12-01,425.08
2020-01-01,428.76
2020-02-01,427.15
2020-03-01,419.0
2020-04-01,411.33
2020-05-01,424.9
2020-06-01,443.98
2020-07-01,454.8
2020-08-01,461.9
2020-09-01,470.38
2020-10-01,479.98
2020-11-01,501.61
2020-12-01,514.86
2021-01-01,520.65
2021-02-01,523.15
2021-03-01,523.13
2021-04-01,531.9
2021-05-01,545.51
2021-06-01,560.71
2021-07-01,566.77
2021-08-01,562.42
2021-09-01,565.44
2021-10-01,579.17
2021-11-01,615.69
2021-12-01,791.13
2022-01-01,879.32
2022-02-01,919.45
2022-03-01,1041.68
2022-04-01,1094.98
2022-05-01,1132.57
2022-06-01,1252.47
2022-07-01,1241.84
2022-08-01,1219.74
2022-09-01,1230.73
2022-10-01,1257.64
2022-11-01,1274.65
2022-12-01,1221.87
2023-01-01,1298.68
2023-02-01,1332.38
2023-03-01,1340.79
2023-04-01,1374.88
2023-05-01,1400.79
2023-06-01,1512.3
2023-07-01,1780.8
2023-08-01,2076.51
2023-09-01,2166.85
2023-10-01,2162.97
2023-11-01,2167.41
2023-12-01,2164.4
2024-01-01,2305.71
2024-02-01,2371.38
2024-03-01,2412.34
2024-04-01,2480.11
2024-05-01,2508.8
2024-06-01,2505.46
2024-07-01,2601.15
2024-08-01,2677.78
2024-09-01,2743.25
2024-10-01,2728.32
2024-11-01,2736.21
2024-12-01,2724.64
2025-01-01,2839.19
2025-02-01,2925.79
2025-03-01,2933.18
2025-04-01,3044.61
2025-05-01,3125.64
2025-06-01,3199.95
2025-07-01,3292.32
2025-08-01,3343.43
2025-09-01,3437.3
2025-10-01,3474.04
2025-11-01,3535.97
